DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT13R,DA0912DR13R,DAGC4X13R,DAGC5X12R,DA0GR13N,DA0GH13N,DA00A001S14R,DA00AR01S14R,DA00AW01S14R,DA00AM01S14R,DA00AC01S14R,DA00AS01S14R,DB00A001S14R,DH00A001S14R,DW00A001S14R,DI00A001S14R,D300A001S14R,D400A001S14R,D200A001S14R,DE00A001S14R,DA0CT13R,DA0CC13R,DA0CSA13R,DA0CAA13R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
BANDERA ISD,010902,010 BANDERA,20,Met Standard,4,2369,0.5,30.6,66.2,0.6,0.5,0,1.5,51.1,3.8,9.7,3.8,26.6,5.9,94.7,0.6,94.9,92.3,168,132,79,81,76,78,81,77,80,73,82,83,100,.,84,72,70.8,28.6,1481,20.9,320.3,162.2,1.6,3.2,8.6,50.7,10.2,25.7,87977,72259,56519,50188,14.5,7.4,14.6,19.1,14.3,24.6,14.5,0.6,8.6,90.1,0.6,73.8,8.8,8.5,0.1,4.6,4.2,545011,1.18,22773781,9322,15.9,74.9,9.2,4400166,0,23875556,21140969,8654,56,4.3,4.3,11.1,24.4,11834469,4844,59.1,16,8.9,0.3,5.2,0.3,3.8,3.7,2.4,0.5,"1,600 to 2,999",Major Suburban,"$525,059 to < $683,703",$1.1251 to under $1.2365
BASTROP ISD,011901,011 BASTROP,13,Met Standard,14,9546,5.4,57.9,33.1,0.5,0.6,0,2.6,68.4,21.7,10.8,19.9,15.7,7.8,95.1,1.2,92.7,93.7,617,444,71,71,60,72,76,72,67,65,81,72,92,-1,77,65,44.4,18.2,1380,20.1,1196.9,634.8,1.2,2.9,9.9,53,12.2,20.9,96697,74417,54214,47387,32.1,8,15,34.4,11.7,24.4,21,5,18.8,73.2,3,54.3,12.2,10.7,10.6,3.4,8.9,296543,1.481,93998612,10142,41.4,45.3,13.3,12326671,0,94244672,77824021,8397,57.5,4.4,5.2,10.3,22.6,44733301,4827,45.3,22.3,13.2,8,3,4.1,2.2,0,0.2,1.8,"5,000 to 9,999",Independent Town,"$282,185 to < $299,922",$1.3593 and over
ELGIN ISD,011902,011 BASTROP,13,Met Standard,7,4178,12.8,56.8,27.5,0.2,0.4,0,2.4,71.7,19,8.6,18.6,22.4,8.6,94.6,1.5,87.7,94.7,239,204,67,67,53,69,72,65,57,64,78,72,73,100,71,61,51.5,13,1342,20,526,252.9,1.5,2.8,7.6,48.1,11.3,28.7,102467,68877,59815,47543,40,7.9,16.5,43.4,9.9,19.7,25.8,5.1,20.8,73.4,0.8,66.3,11.7,2.6,13.2,5.4,0.8,208635,1.54,41920716,10170,54.3,36,9.8,12229358,0,40956918,33392519,8101,54.9,7.2,5.3,11.9,20.7,18324610,4446,56,15.9,12.9,1.6,4.1,1.3,3.5,1.1,1.9,1.8,"3,000 to 4,999",Non-metropolitan Stable,"$200,649 to < $226,769",$1.3593 and over
SMITHVILLE ISD,011904,011 BASTROP,13,Met Standard,4,1799,7.8,26.7,61.1,0.5,0.4,0.1,3.3,58.3,4.1,8.9,4.1,23.7,7.1,95.7,1.2,97.4,93.7,159,116,74,75,67,74,75,78,61,67,80,86,80,-1,61,67,53.5,22.4,1404,20.6,247.8,131.2,1.2,3.1,8.7,52.9,11.2,22.9,91931,69714,51755,44583,14.5,7.3,13.7,36.6,12.1,20.5,27.3,5.3,3,89.3,2.3,82.8,9.3,1,0.6,3.9,2.3,327924,1.41,17645305,9980,41.1,49.3,9.6,3646091,0,16390220,14815090,8380,53.1,7,5.3,11.3,23.3,7870099,4451,54.8,22.4,8.6,0.9,3.9,1.5,3.8,1.6,1.5,1,"1,600 to 2,999",Non-metropolitan Stable,"$324,855 to < $340,343",$1.3593 and over
MCDADE ISD,011905,011 BASTROP,13,Met Standard,1,210,0.5,53.8,45.2,0,0,0,0.5,74.3,26.7,6.7,25.2,0,3.8,96.9,.,.,.,.,.,78,89,73,74,62,77,-1,75,81,.,.,.,-1,76,.,.,.,.,38.1,18.1,5.3,2.6,5.3,47.6,20.7,18.6,66873,60240,55760,41392,20.2,5.5,11.6,28.2,11.7,16.6,12.8,5.5,6.1,88.4,0,82.3,5.5,10.1,0,0,2.1,327553,1.109,2421054,11261,52.2,35.6,12.3,914998,0,2098773,1932660,8989,54.2,14.2,4.5,9.3,17.8,1048013,4874,59,11.4,19.7,2.3,0,0.6,0.6,0,1.2,5.2,Under 500,Rural,"$324,855 to < $340,343",Under $1.1251
SEYMOUR ISD,012901,012 BAYLOR,09,Met Standard,3,570,2.3,20,73.5,0.5,0.4,0,3.3,53.2,0,10.9,0,27.2,3.7,96.2,0.6,97.2,97.2,36,26,88,87,89,90,92,75,88,83,90,80,-1,.,60,83,61.1,31.8,-1,21.5,89.1,55.2,1.1,3.2,3.9,61.9,11.1,18.8,120000,70941,47973,42702,5.6,6.4,10.3,23.6,14,19.1,18.2,1.8,1.8,96.4,0,82.1,4.7,3.6,0,9.6,0,253130,1.04,6308761,10840,62.6,30.1,7.3,3183231,0,6014927,5560247,9554,53.7,8.5,6.4,11.6,19.8,2983737,5127,53.7,8.5,18.1,0.1,10.1,0.3,6.9,0.9,1.4,0,500 to 999,Rural,"$239,665 to < $259,094",Under $1.1251
ST MARY'S ACADEMY CHARTER SCHOOL,013801,013 BEE,02,Met Standard,1,434,1.2,80.6,14.3,0,3,0,0.9,76.7,0.5,6.9,0.5,0,3.7,95.9,.,.,.,.,.,78,86,74,73,76,.,100,76,87,.,96,.,-1,74,.,.,.,.,68.6,25.2,2.7,6.3,8.9,36.8,15.7,29.6,72118,48667,40096,38673,48.6,6.3,17.2,31.4,11.1,23.5,28.4,3.9,25.5,66.7,3.9,99.7,0.3,0,0.1,0,0,.,.,4184296,9708,78.7,3.6,17.8,0,239734,4121590,4062799,9426,50.9,14.5,6.4,13.9,14.2,2066322,4794,67.5,8.8,23.2,0,0,0.5,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
BEEVILLE ISD,013901,013 BEE,02,Met Standard,6,3364,2.1,82.9,13.6,0.2,0.4,0.1,0.7,74.3,3.5,9.2,2.9,32,5.8,93.5,2.4,90.4,93.9,251,250,65,66,74,62,67,60,76,63,75,83,82,-1,83,61,34.3,16.3,1416,19.3,500.6,232,1,2.8,6.7,46.3,13.3,29.8,92794,68434,52069,43365,62.6,6.7,14.5,48.5,10.4,20.5,25.1,1.3,42.2,55.2,1.3,80.2,12.5,0,0.4,5.5,1.3,174809,1.266,34196175,9903,56.6,27.1,16.3,11079259,0,33216893,28529724,8262,58.3,6.3,4.4,11.5,19.5,16644502,4820,58.3,14.4,14.2,0.8,4.2,1.5,4.4,0,1.2,0.9,"3,000 to 4,999",Independent Town,"$151,909 to < $181,217",$1.2365 to under $1.3593
PAWNEE ISD,013902,013 BEE,02,Met Standard,1,164,0,77.4,21.3,0,0,0,1.2,54.3,0.6,9.1,0.6,0,4.3,96.4,.,.,.,.,.,75,79,64,76,81,59,.,71,90,.,.,.,-1,75,.,.,.,.,25.7,12.8,3.9,3.9,3.9,49.9,11.2,27.2,83000,71500,39146,44368,49.9,6.4,12.8,30.5,13.5,23.1,25.1,0,23.1,76.9,0,92.2,0,7.8,0,0,0,1026174,1.269,2395482,15356,12.4,80.3,7.4,875586,0,3041479,1754917,11249,54.6,9.6,5.9,10.4,19.4,958618,6145,57,17.1,19.7,0,0,0,1.1,0,5.1,0,Under 500,Rural,"$683,703 to < $2,233,241",$1.2365 to under $1.3593
PETTUS ISD,013903,013 BEE,02,Met Standard,2,438,2.3,62.3,33.3,0,0.2,0,1.8,59.8,0.7,12.8,0.7,31.1,4.3,95.4,0.6,100,92.9,27,14,74,79,78,76,66,64,-1,69,85,-1,-1,.,-1,70,63,17.6,1347,19.1,74.2,35.2,2.7,2.8,5.7,47.4,12.1,29.4,65317,64701,41772,45903,45.8,5.9,12.5,26.2,12.8,8.4,18.5,0,28.9,71.1,0,85.5,9.1,0,0,5.5,0,324393,1.075,4487057,10508,49.2,40.6,10.2,366157,0,4759491,4148774,9716,51.3,8.6,6.2,11.7,22.2,2127699,4983,51.3,12.5,19.8,0,4.6,0.3,8.5,1.7,1.1,0.3,Under 500,Rural,"$312,844 to < $324,855",Under $1.1251
SKIDMORE-TYNAN ISD,013905,013 BEE,02,Met Standard,3,789,1,64.9,32.2,0.9,0.5,0.3,0.3,55.8,1.4,10.3,1.4,30.3,4.8,95.8,0.3,100,98.4,70,64,88,89,86,87,91,83,-1,84,95,93,100,-1,83,83,50,17.1,1437,20.3,112.1,61.2,4.5,2.7,8.2,54.6,0.9,29.1,82440,80681,40591,46516,55.4,7,12.9,26.1,12.2,15.1,34.9,3.3,33.2,61.9,1.6,94.7,4.2,0.1,0,1,0,144166,1.554,8680561,10573,67.7,24,8.4,395703,0,9415297,7920950,9648,50.3,6.2,5.1,14.1,24.3,3985825,4855,48.8,11.6,20.7,0.8,4.7,0.5,9,1.6,0,2.5,500 to 999,Rural,"$101,960 to < $151,909",$1.3593 and over
RICHARD MILBURN ALTER HIGH SCHOOL,014801,014 BELL,12,Met Alternative Standard,1,132,37.1,34.1,22,0,0.8,1.5,4.5,68.2,0.8,17.4,0.8,28,0,87.6,19.4,58.5,63.9,63,23,50,36,.,42,71,78,47,42,63,.,-1,-1,-1,49,12.7,12.5,1294,.,20.3,11.8,1.7,5.8,10.7,58.2,12.1,11.5,69647,69291,40188,37409,62.6,6.5,11.2,66.7,3.9,0,70.6,41.7,16.7,41.7,0,82,7.3,0,0,10.7,0,.,.,1569489,10061,87.6,0,12.4,0,229423,1609101,1608265,10309,45,24.1,10.2,13.8,7,723058,4635,61.4,7.1,25.4,0,4.3,0,0.4,1.4,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
TRANSFORMATIVE CHARTER ACADEMY,014802,014 BELL,12,Met Alternative Standard,1,91,41.8,35.2,17.6,0,1.1,1.1,3.3,68.1,0,6.6,0,28.6,0,89.8,16.5,50,75.6,29,1,67,71,.,46,73,76,67,62,77,.,.,-1,-1,67,0,.,.,.,7,3,14.3,28.6,0,42.9,0,14.3,61800,47656,.,37794,100,13,30.3,33.3,13.3,33.3,0,100,0,0,0,86.3,0.5,0,0,13.2,0,.,.,644610,9767,90.5,3.6,6,0,642078,515775,498372,7551,36.7,38.7,15.1,8.8,0.6,182884,2771,36.2,21.7,26.4,0,10.8,0,0,4.9,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
PRIORITY CHARTER SCHOOLS,014803,014 BELL,12,Met Standard,5,885,16.4,25.2,51.6,0.2,1.1,0,5.4,52.3,0.1,10.2,0,2.6,0,95.1,0,85.7,100,15,12,66,73,68,59,61,78,56,62,70,-1,100,.,79,63,33.3,20,1366,.,79.7,53.3,2.5,8.8,0,66.8,1.6,20.3,66250,48831,.,35186,21.8,11.1,16.6,77.5,3.9,22.5,35,15,7.2,77.8,0,94.5,5.3,0,0,0.2,0,.,.,3325543,7423,87.9,4.6,7.4,0,0,3012333,2976417,6644,51,11.1,9.5,15.6,12.8,1518519,3390,55.4,9.8,26.1,0,0.5,0,0,0,8.2,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
ORENDA CHARTER SCHOOL,014804,014 BELL,12,Met Standard,5,1206,5.5,20.4,69.3,0.6,1.8,0.1,2.3,25.5,1.2,12.2,0.8,0.2,0,96.2,2.4,80.9,86.4,53,37,85,89,76,80,86,92,78,81,86,-1,91,-1,86,77,45.3,12.5,1391,19.8,119,76.2,3.5,7.9,7.7,64,10,6.8,75557,47693,49057,46746,20.9,10.1,15.8,46.4,7.7,23.4,34.2,5.3,7.7,85.7,1.3,90,8.7,1.3,0,0,0,.,.,9356872,9376,90.3,3.9,5.8,0,504085,8657919,7870178,7886,52.8,14.6,7.1,14.4,11.1,4158811,4167,58.2,24,12.9,0.2,0,0,3,1.6,0,0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
ACADEMY ISD,014901,014 BELL,12,Met Standard,3,1270,2.3,21.8,71.7,0.7,0.6,0.3,2.5,36.3,4.5,7.1,4.3,22.4,7.9,96.6,0.3,100,98.7,80,55,86,85,83,89,88,82,86,77,89,93,82,.,83,78,46.3,40.5,1520,21.4,166,87.1,1.5,2.4,4.3,52.5,15.3,23.9,90046,74220,57960,47861,9.4,7.7,14.6,8,17.8,8,14.6,0,2.3,94.9,2.8,86,6.3,2.3,0.1,5.2,0,202253,1.163,10933636,9313,56.4,38.9,4.7,1880335,0,10770933,9722073,8281,58.4,4.5,6.6,11.3,19.1,5680903,4839,59.4,16.6,11.2,0.3,5.3,0.6,4.7,1.6,0.1,0.1,"1,000 to 1,599",Non-metropolitan Stable,"$200,649 to < $226,769",$1.1251 to under $1.2365
BARTLETT ISD,014902,014 BELL,13,Improvement Required,1,395,11.4,61.8,24.6,0.3,0,0,2,72.9,11.1,9.4,10.9,33.4,1.8,95.5,2.3,89.2,100,39,27,60,61,48,61,59,64,53,57,67,-1,.,.,100,56,56.4,0,1204,-1,57.9,30.2,5.2,3.5,8.9,52.2,10.1,20.2,67106,63708,43519,38479,38.9,6.8,13.1,35.8,12.2,19.9,36.1,3.3,19.9,76.8,0,80.3,6.3,5.2,0,8.2,0,218255,1.155,4946408,11749,55.8,24.8,19.4,1541763,0,4504079,4317480,10255,52.1,7.5,4.5,11.7,24.3,2247873,5339,42.4,6.9,32.6,1.6,4.8,0.4,8.2,1.1,1.4,0.6,Under 500,Rural,"$200,649 to < $226,769",$1.1251 to under $1.2365
BELTON ISD,014903,014 BELL,12,Met Standard,14,10305,6.5,32.5,54.7,0.7,1.6,0.2,3.7,50.4,6.9,10.5,6.8,21.3,8.5,96.2,0,98.4,99.7,614,447,81,80,73,83,85,80,73,73,86,71,96,75,85,71,50.7,31.8,1485,22.1,1461.9,678.7,0.8,2.1,8,46.4,10.7,31.9,97825,71411,57330,47669,22.7,7,15.2,31.9,11.4,16,13.9,2.7,7,88.5,1.8,76.4,9.2,7,2.3,3.6,1.4,208631,1.521,93262188,9424,53,38,9,13646721,0,111657935,78075524,7890,54.9,7.1,5.4,10.7,21.8,42854517,4330,62.1,15.3,7.9,1.3,4.3,1.2,4.2,1.5,1.4,0.8,"10,000 to 24,999",Other Central City Suburban,"$200,649 to < $226,769",$1.3593 and over
HOLLAND ISD,014905,014 BELL,12,Met Standard,3,630,3,31.1,64.1,0.2,0.5,0,1.1,50.8,3,8.1,3,29.2,6.7,96.7,0,97.5,100,38,21,89,86,89,90,94,87,84,84,92,.,-1,.,100,85,60.5,30.4,1503,21.6,99.2,53,1.2,1.5,3.4,53.5,11.6,28.8,97853,81501,47821,43635,14.4,6.4,11.9,18.9,15.4,13.8,3.9,0,5.7,94.3,0,83.8,7.8,2.8,0,5.6,0,139587,1.28,7908988,12966,55.3,27.9,16.7,1266877,0,6920357,6343073,10398,49.3,8.4,5.3,12.3,24.6,3128196,5128,41.9,34,13.9,0.1,4.1,0.3,4,1,0.7,0,500 to 999,Rural,"$101,960 to < $151,909",$1.2365 to under $1.3593
KILLEEN ISD,014906,014 BELL,12,Met Standard,54,41336,33.6,28.1,26.4,0.7,2.6,1.6,6.9,57.3,8.4,11.2,7.6,15.8,3.7,95.3,1.6,86.7,88.7,2024,1409,76,77,71,76,75,72,70,76,82,77,84,75,79,71,56.6,18.7,1388,20.1,5813.2,2754.4,0.7,3,8.5,47.4,12.6,27.8,88289,73325,58392,49610,42.6,7.1,15,39.6,10.2,23,14.5,16.1,12.4,65.4,6,75.7,10.1,2,3.4,2.8,6,149152,1.131,372829765,8944,54.8,21.4,23.8,94710097,0,371047068,334853833,8033,60.1,4.2,5.8,9,20.8,201297396,4829,64.6,16.6,6.7,0.5,1.8,0.3,2.2,1,4.8,1.5,"25,000 to 49,999",Other Central City,"$101,960 to < $151,909",$1.1251 to under $1.2365
ROGERS ISD,014907,014 BELL,12,Met Standard,3,862,2.7,27.5,68,0.5,0.5,0.1,0.8,49.7,3.6,7.2,3.6,34.9,7.7,97.1,0,98.5,94.2,65,52,78,77,72,80,82,81,56,70,83,100,100,.,75,71,49.2,21.9,1476,21.6,122.4,62.4,2.1,4.1,7.4,51,11.2,24.2,68482,63978,56694,44015,9.3,7,13.8,27.3,12.5,12.7,22,1.6,4,94.4,0,80.2,10.6,0,1.6,6.1,1.5,175930,1.335,8456511,10091,63.4,30,6.6,1644595,0,8332414,7444223,8883,50.1,8.5,5.6,12.9,22.9,3725765,4446,60.7,14.3,10.1,0.7,4.2,0.4,8.2,1.6,0,0,500 to 999,Non-metropolitan Stable,"$151,909 to < $181,217",$1.2365 to under $1.3593
SALADO ISD,014908,014 BELL,12,Met Standard,5,1465,1,20.1,75,0.9,0.9,0.1,2.1,27.5,6.9,5.9,6.8,25.5,5,96.4,0,98.3,99,116,99,85,84,74,85,94,87,94,74,88,75,100,-1,82,69,65.5,38.2,1542,23.2,169.9,96.1,1.2,3.4,5.1,56.6,8.2,25.6,92802,74566,49875,44714,15,8.6,15.2,25.1,14.2,21.3,8.5,0.8,6.2,93,0,75.6,5.6,5.2,2,4.7,6.9,455250,1.3,12403618,9201,25.7,72.1,2.2,4057214,0,21899748,10301984,7642,58.7,4,6.8,8.6,22,6044398,4484,63.8,9.5,8.8,0.5,5.1,0.7,7.2,3.5,0.9,0,"1,000 to 1,599",Other Central City Suburban,"$441,532 to < $469,944",$1.2365 to under $1.3593
TEMPLE ISD,014909,014 BELL,12,Met Standard,15,8644,27.9,40.3,26.7,0.5,1.6,0.1,3,76.8,9.2,8.8,9.7,17.2,8.2,95,2.8,86.8,91.7,516,372,67,66,59,68,71,71,57,66,78,78,84,92,73,62,40.5,27.8,1459,22.3,1147.2,595.8,1.5,3.2,9.4,51.9,10.3,23.7,91106,65836,53140,45250,27.4,7.5,14.5,38.5,10.5,13.3,24.7,8.4,4.6,82.5,4.5,71.3,9.2,5.8,4.3,3.3,6.1,308162,1.28,83405666,9530,36.9,48.5,14.7,15229363,0,107934306,71660667,8188,56.8,5.8,5.7,10.1,21.7,40684749,4649,63.1,13.2,11.1,0.5,3,0.7,3.3,1,2.1,2.1,"5,000 to 9,999",Other Central City Suburban,"$299,922 to < $312,844",$1.2365 to under $1.3593
TROY ISD,014910,014 BELL,12,Met Standard,4,1434,1.5,23.7,72.4,0.5,0.6,0.1,1.2,48,2.7,9.3,2.7,22.8,5.8,95.9,0.5,100,100,85,74,78,85,74,73,74,74,71,75,79,86,83,-1,87,70,61.2,19.2,1409,20.4,184.8,94.9,2.2,3.9,4.1,51.4,13.7,24.9,79769,69132,58437,42765,8.6,7.8,15.1,27.6,13.3,14.6,15.5,0,4.2,94.7,1.1,81.9,9.4,3.3,0.4,4,1,182766,1.332,12280377,8899,62,33.4,4.7,721860,0,12326948,10579138,7666,53.1,6,6.3,11.1,23.5,5615952,4070,59.3,16,10.5,0.1,4.8,0.5,5.8,0.6,1.4,0.9,"1,000 to 1,599",Non-metropolitan Stable,"$181,217 to < $200,649",$1.2365 to under $1.3593
POR VIDA ACADEMY,015801,015 BEXAR,20,Met Alternative Standard,3,303,2.6,89.1,7.6,0,0,0,0.7,69.6,0.3,17.2,0.3,51.5,0,74.3,25.7,37.4,35.7,95,42,41,30,.,40,59,67,-1,39,55,.,.,.,.,38,24.2,0,1206,.,56.4,30.4,4.2,8.9,16,53.9,0.9,16.2,104588,40968,38502,39938,73.3,5.4,10,77,3.9,13.2,38.1,3.3,53.8,42.9,0,78,13.9,0,0,7.5,0.6,.,.,5730404,18426,41.1,3.7,55.2,0,73,5859012,5788152,18611,50.2,12,8.6,14.4,14.8,2907691,9349,71.7,9,13.7,0,4.4,0,0.8,0.4,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
GEORGE GERVIN ACADEMY,015802,015 BEXAR,20,Improvement Required,2,1313,30.1,63.1,4.6,0.1,0.5,0.1,1.6,97.7,21,3,21,4.4,0,93.1,1.1,63.6,84.2,42,33,66,69,53,65,67,60,63,66,79,.,.,.,100,64,19,0,-1,15.3,107.8,54.3,2.8,0.9,4.7,50.4,0,41.1,103164,48300,53890,36650,76.7,12.2,24.2,93.2,1.4,3.6,45.6,22.2,49.5,27,1.4,98.1,0,0,0,1.9,0,.,.,8965669,7301,82.1,5.8,12.1,0,267770,9530479,9530479,7761,71.5,3.1,7.1,8.4,10,6810208,5546,60.1,4.5,18.4,1.1,2.3,0,0.8,0.4,12.4,0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
HIGGS CARTER KING GIFTED & TALENTE,015803,015 BEXAR,20,Improvement Required,1,485,13.4,82.9,2.1,0.4,0,0.2,1,94.6,9.9,5.8,9.9,9.9,0,94.9,2.3,-1,-1,2,2,61,58,68,66,53,50,80,58,-1,-1,.,.,.,61,-1,-1,-1,.,67.1,18.8,2.5,3.5,12.1,28.1,7.5,46.4,119416,74852,51907,45005,88.6,7.2,25.7,94.7,2.1,0,57.8,20.6,64,15.4,0,100,0,0,0,0,0,.,.,5715239,8902,74.2,2.9,22.9,0,1364624,5344032,5243711,8168,41.3,9.3,8.7,14.2,26.4,2167964,3377,60.8,3.4,24.1,0.2,0,0,0,0,11.5,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
NEW FRONTIERS CHARTER SCHOOL,015805,015 BEXAR,20,Improvement Required,3,615,1.3,96.3,2.3,0,0,0,0.2,89.3,11.4,8.8,10.1,0,0,95.8,.,.,.,.,.,57,66,43,61,47,25,41,57,53,.,.,.,.,56,.,.,.,.,75.9,40.9,5.3,2.6,9.8,53.9,9.2,19.2,84505,81250,47713,46698,75,8.1,15,63.3,4.7,22,38.9,9.8,56,29.3,4.9,79.2,17.7,0,2.4,0.6,0,.,.,6001126,9571,80.2,2.2,17.6,0,78601,6147903,5581211,8901,56.3,16.2,6.5,12.7,8.2,3143356,5013,68.3,16.5,14.2,1,0,0,0,0,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
SCHOOL OF EXCELLENCE IN EDUCATION,015806,015 BEXAR,20,Met Standard,7,1384,31.6,62.5,3.5,0,0.1,0.4,2,92.6,12.8,6.8,12.6,15,0,95.8,0,82.6,92.3,41,34,64,68,67,63,65,30,64,64,69,.,.,50,-1,63,75.6,6.5,1224,16.1,197.1,105.9,1.5,2,9.1,53.7,8.6,25,81899,64500,50623,37467,81.9,7,13.1,46.8,7.2,14.9,31.1,38.9,40.5,17.7,2.8,80,6.3,7.4,3.5,2.8,0,.,.,13930716,9123,84.4,1.5,14.2,0,2580600,13684847,13072268,8561,47.4,16.8,4.9,13.9,17,6198731,4059,48,9.3,28.6,2.9,2.3,0,2.3,0.1,6.6,0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
SOUTHWEST PREPARATORY SCHOOL,015807,015 BEXAR,20,Met Alternative Standard,5,627,11.5,81.7,6.2,0,0.2,0,0.5,77,12.3,12.8,8.5,51.4,4.1,90.3,11.5,58.5,65.5,106,51,43,48,39,40,27,49,42,42,56,.,.,.,.,41,5.7,16.7,1305,.,106.2,50.2,5.2,9.6,27.4,47.3,1.8,8.7,97805,46102,51401,41427,53.3,5.9,12.5,76.6,3,21.3,46.5,15.5,36.4,48.1,0,76.7,13.9,0,2,7.3,0.1,.,.,8415865,16567,46.8,9.2,44.1,0,2259501,8002084,7476402,14717,46.8,21.8,9.7,10.2,11.4,3498633,6887,10.2,10.7,72.7,0.4,5.3,0.6,0,0,0.1,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
JOHN H WOOD JR PUBLIC CHARTER DIST,015808,015 BEXAR,20,Not Rated,5,489,23.5,36,35.6,1.6,0.2,0.2,2.9,100,5.5,40.9,5.3,0,0,-1,-1,-1,.,.,.,67,-1,.,-1,-1,-1,-1,83,-1,.,.,.,.,64,-1,.,.,.,128.1,53.9,3.1,10.9,17.8,42.1,22.9,3.1,102379,57224,59542,45415,38.6,3.8,9.1,75.9,4.3,17,51.4,7.4,16.3,67.2,9.1,70.9,29.1,0,0,0,0,.,.,11939992,21436,68.8,2.9,28.3,0,2649710,10482895,10353529,18588,46.2,23.6,12.5,2.4,15.4,4778441,8579,0.3,73,25.4,0.3,0,0,0,1,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
BEXAR COUNTY ACADEMY,015809,015 BEXAR,20,Met Standard,1,505,4.4,91.3,3.8,0,0.4,0,0.2,35,20.2,11.5,18.8,0,0,94.2,.,.,.,.,.,70,72,69,68,84,50,56,70,77,.,.,.,.,63,.,.,.,.,50.4,32.9,0,4,6.9,65.3,17.8,5.9,.,40560,22862,30669,63.4,10,15.3,66.7,5.2,15.2,26.5,12.1,39.4,48.5,0,72.8,12.1,9,6.1,0,0,.,.,3736801,8159,84.8,0.5,14.8,0,174278,4446398,4437676,9689,43.7,13,10.8,26.4,6.1,1939559,4235,51.7,11.2,23.4,2.1,0,0,0,0,11.7,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
POSITIVE SOLUTIONS CHARTER SCHOOL,015814,015 BEXAR,20,Met Alternative Standard,1,183,1.6,95.6,2.2,0,0,0,0.5,89.6,2.2,13.7,1.6,2.7,0,80.7,26.7,25,39.7,37,13,50,41,.,53,56,80,-1,51,-1,.,.,.,-1,49,8.1,-1,-1,.,16,7,6.2,6.2,25,43.8,0,18.7,79258,50622,38364,31762,75,11.4,26.1,42.8,11.9,71.4,72.7,0,57.1,42.9,0,96.4,2.2,0,0,1.5,0,.,.,2330136,13953,49.4,2.6,48,0,298341,2268861,2268861,13586,51.2,16,23.1,1.4,8.4,1161140,6953,46,1.3,52.7,0,0,0,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
RADIANCE ACADEMY OF LEARNING,015815,015 BEXAR,20,Improvement Required,5,556,10.4,69.6,14,0,2.2,0,3.8,75.7,16,6.3,17.3,32.2,0,95.2,0,73.1,83.3,19,18,60,69,47,53,62,53,52,59,65,.,-1,.,74,56,5.3,-1,-1,.,59.9,31.1,4.9,2.5,9.3,51.9,13,18.3,149754,59792,55960,40940,66.3,9.3,17.9,66.5,6.8,25.7,68.7,19,48.2,32.4,0.3,71.5,16.7,3.2,1.4,6.8,0.4,.,.,4476089,9286,88.6,0.5,10.9,0,487642,4710026,4499015,9334,37.6,25,8.4,19.8,9.1,1692225,3511,49.2,8.2,34.2,1.9,3.3,0,0,1.1,2.1,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
